Date,AXP,BA,CVX,DIS,DWDP,GE,HPQ,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,PG,WFC,WMT,XOM
2015-01-05,-0.02680187496214259,-0.006949899583568175,-0.040792230537648244,-0.014721270248532647,-0.0314164502774239,-0.018526239633376296,-0.01679001460731877,-0.01586048256104089,-0.007008783975499533,-0.031536993534174496,0.0,-0.011105780910863672,-0.022810764668250272,0.01475335951448109,-0.00923840367970774,-0.004765939210287229,-0.02780509158709199,-0.002914711108811474,-0.02774287369811468
2015-01-06,-0.021542300329326025,-0.011848329006464375,-0.0004627902839695608,-0.005318263184343586,-0.016200995093904602,-0.021780364870013003,-0.0076103692513442844,-0.021801620931586996,-0.0049259565364296876,-0.02627113514964652,0.007564777134288381,0.001841461287131807,-0.010720719024531533,0.038531322747847874,-0.014786200247494108,-0.0045653243758003725,-0.0210855381219881,0.0076762002617325464,-0.005330679691097018
2015-01-07,0.021605031119619866,0.015406452162798345,-0.0008334626078481122,0.010177602893411297,-0.0016115866507253607,0.00041551137846962405,0.011645564267858344,-0.006556866607480671,0.021835833961062256,0.0015247406994838286,0.012405400227270658,0.017274152465145853,0.007222596068553244,0.021160374972747142,0.012625545697211749,0.005231801520382717,0.005933644054339826,0.026186163338492996,0.010081519353695612
2015-01-08,0.014075564469882451,0.017527655935309916,0.022625255212276763,0.010288406795190497,0.024580377267472198,0.011971009891657225,0.02362995047520311,0.02150182886659202,0.007831978109890336,0.022100306489825083,0.012023161267803673,0.0037160967720799576,0.02368459322513239,0.01992693528634204,0.02899356906324657,0.011370432268805075,0.021895861970098185,0.020886559189936094,0.01650776968595924
2015-01-09,-0.01274760498536498,-0.001974629396457317,-0.020127031609471047,0.004892435358549108,-0.0015751572858735408,-0.014049655693656682,-0.00024574312626501893,0.004346082969880705,-0.013722754185690356,-0.017539840670089735,-0.011093153089130503,-0.012262261622096204,-0.012359888422791343,-0.00462499911900327,-0.008440497121728008,-0.009374049956435648,-0.01656665462665119,-0.012456959494939746,-0.0014107339520599282
2015-01-12,-0.010226801675734976,-0.005106644398719773,-0.021767479753701302,0.002225783978802909,-0.005871748860077908,-0.0020830671543237145,-0.018613470098196583,-0.01692299837764466,-0.003436324649642941,-0.008631618722617862,-0.009104967422410848,-0.0021480251976413456,-0.005459482719611941,-0.004164506811998869,-0.01258174515704713,-0.003663067933308284,-0.012031213021225007,0.007470583704915157,-0.019405038034091326
2015-01-13,-0.003021086914785087,0.002289792599973417,-0.015994078933425193,0.007698320868817277,-0.012306481937984337,-0.0050164370718635,-0.002759137797684108,0.0023622219921763943,0.001719597737882772,0.00016989043625281752,-0.0002345725915438024,-0.0019371202793312392,-0.000747038233312125,-0.0017672934153045716,-0.005163502580381785,0.004217035906671107,-0.0038497808545265855,-0.007918442610570509,-0.00366007154891701
2015-01-14,-0.024505151373968026,-0.006040997080655863,-0.0028833643243935114,-0.010136150800514443,-0.004136047758553474,-0.0033586651358663566,-0.00883074004233908,-0.006461801983872029,-0.007281061526341226,-0.035109479687104095,-0.0016434483738789751,-0.013993792580976994,-0.004868077796170489,0.0072097215224724565,-0.008665683401888113,-0.003439052788563046,-0.011639241360744457,-0.03069819548557362,-0.002893029342343034
2015-01-15,-0.013761404875447525,-0.0018422985627974953,-0.011908868598011324,0.0012726303547614393,-0.0027668334402055628,-0.008445837375934406,-0.03271375474523053,-0.00792606373427418,-0.01462577711890134,-0.032560901933299746,-0.0042381021086495,-0.0017495898644144248,-0.001126710873593062,-0.012206942473904192,-0.010498467992319238,-0.0014457672642445019,-0.010395272242852638,0.008851256649856865,-0.008729845874856146
2015-01-16,0.0018613706876369207,0.004905665694098893,0.023582685276683613,0.008758507585404196,0.033601581528013735,0.00042377153100892073,0.003920027960934824,0.01649008631239024,0.015010306820457231,0.016949449162041663,0.0035328955809670326,0.0012028970547026674,0.014549767846726347,0.018413760531175605,0.016572412681841175,0.015350401509002687,0.017976183493126463,-0.007005558536322454,0.02399049412821519
2015-01-20,0.014079738505634154,0.0033588287600858635,0.012760651111498156,-0.004633480710118931,-0.014845345173619684,0.010961479699980625,0.0072764357012675696,-0.0012101680432419215,-0.026787741705759593,-0.0039414534058108686,0.014704484730873268,-0.007569990635423629,-0.0003704921412932549,-0.006685562397891864,0.0032386703311448883,-0.0006576636456090412,0.0069473218051050445,-0.0009222766003054161,-0.00032922985524130866
2015-01-21,0.004687720343257595,0.00902791028455141,0.015748387331723457,-0.006034494391073508,0.013728248359182071,0.007935049721541354,-0.001295502135908233,-0.03145466759770965,0.006004339276863391,0.003226035372100977,0.004623378412620838,-0.005079284883284352,0.003698343211768318,-0.00721339506206764,-0.010183236708802834,0.002025458298232863,0.0019212311257548187,-0.000577111869427327,0.00852648289824387
2015-01-22,-0.03836807555192934,0.024101022777863967,0.007002030251471503,0.010352785344621473,0.013762637243580844,0.00993336152844293,0.03790359129968035,0.021465843456341283,0.018088338097437706,0.029963261951564846,0.009639602450989049,0.006069779382607443,0.020400837815992112,0.006893690419476961,0.026008960154467076,0.00976161970799172,0.031550637975603646,0.018978595660641417,0.010826054278564534
2015-01-23,-0.0028484371485069104,-0.007548333901666204,-0.01918766181621301,-0.004529325427904851,-0.017569606584477704,0.008203699400896713,0.0004991497688831004,0.0030841606990534842,-0.015148815360123358,-0.015927436785051707,-0.010793419512164615,-0.014741277860128577,-0.011336430281566834,-0.0015990205943525737,0.0010605027854797555,-0.01695146283697202,-0.009530236690399985,0.002375454566595714,-0.02155085749849306
